region,lat,lon,count,price,group
2661,59.93379266739977,30.316880702962973,159367,10.42,3
81,55.72630183051933,37.75887551732546,161052,5.79,3
2871,56.234320354942014,43.89382073656864,26386,4.5,2
3106,53.24955633825957,50.06293699578065,22776,3.81,2
2922,55.73104781705874,49.95861853163522,74730,4.55,2
2843,44.896782170753404,38.923487203993275,215437,4.71,3
3,55.7202005436339,37.56685644450734,154561,14.69,3
3230,47.2797740395634,39.764283022169835,63627,3.59,2
5282,55.05865871875341,61.14980153463322,49415,2.62,2
5368,53.47725831371032,103.46691220656665,8665,3.21,1
5520,58.04847764435782,56.19605066556909,14365,3.47,1
6171,56.92652404707651,60.58275703608582,72516,4.51,2
9579,51.980204100746,107.66821313495558,2815,3.0,1
1010,56.91910862078499,53.26434809448594,12586,3.08,1
4417,62.6883351337804,52.41470313017731,8798,3.26,1
9648,43.50680254993329,43.628235981600966,8245,2.94,1
2604,57.62346877419208,39.71901881487762,30603,3.31,2
3019,56.086578534400815,47.26911658917754,16706,2.99,1
3446,59.94787611784447,30.4307707167181,12962,4.62,1
3870,56.342469633396924,92.730282708983,23589,3.91,2
3991,57.174326121939494,65.69988688627741,37216,4.56,2
5241,54.18819851308947,45.12614158817615,5768,2.88,1
6817,53.190054817674294,83.71599930769895,23107,2.98,2
4007,42.897398072760616,47.54559051228257,16902,3.16,1
9654,54.997869813509695,82.96691327734823,357195,3.4,3
13919,43.091923178961814,44.64346540262977,4373,3.14,1
8090,61.90397294915475,34.12009975305592,6921,3.16,1
2860,55.08230118544637,86.26756483425544,10664,2.76,1
10160,51.9102735715839,113.82626607379763,10209,3.25,1
2722,54.531376459272835,55.68311428934828,23461,3.77,2
4982,56.59950392977883,47.89775292091452,11394,2.63,1
2072,51.63344535065309,39.2706212563523,18757,3.45,1
2359,53.67805258937032,91.38435794456963,6924,2.8,1
11171,60.26522670285522,125.2159377302699,4483,3.81,1
2594,58.39276031742425,49.4423870780303,924,4.05,1
2900,44.650143051208424,42.365670493937,21557,3.15,2
11416,44.91266960185186,39.193882475731,1026,2.48,1
7793,57.587797896001604,28.654945781167537,2501,2.6,1
11991,44.13892099986584,42.01543637535779,2236,3.01,1
5178,51.70976584516129,94.41570424659498,279,3.94,1
13913,43.2346187569378,44.79874029521531,418,2.48,1
8509,46.31251028822012,44.290537307824586,1163,2.39,1
6309,51.90235856853332,85.95238756586667,375,2.85,1
2880,56.853182014728674,35.86680274509044,2322,3.33,1
2484,61.18180619772942,73.48877269375592,2114,5.13,1
4240,52.60030035374732,39.49918043940043,467,3.0,1
2885,43.316812872214946,45.71852442568808,763,3.08,1
5789,56.14661724025974,40.37539338268398,1617,2.82,1
5952,50.8160452822951,36.97653942901267,17289,3.85,1
2528,51.564375726092386,46.095672017665414,1602,2.69,1
2328,54.67093004575893,36.31357539635417,1344,4.04,1
5143,54.16357033766448,37.73442286513158,608,3.44,1
7121,51.794405769313315,36.08632739570815,466,3.25,1
6937,44.86664673917341,34.19075351437556,1113,6.09,1
7873,44.58974987223567,33.49091229757869,1239,6.94,1
6543,64.38876461180655,40.61409523243243,703,4.39,1
4695,48.74655513875458,44.52815779941392,1365,3.55,1
5736,58.50660000885417,31.458583441666665,192,2.85,1
821,53.235953630622845,34.27525969636678,578,2.76,1
2806,52.73052498096385,41.4375149207229,415,2.95,1
10582,46.417837308695646,47.98782827434783,460,3.26,1
7896,54.72374391644915,20.50914325241351,9654,4.63,1
5703,55.552085701005026,65.05096228743719,199,2.42,1
10201,56.591498846428564,84.83818742938313,616,3.99,1
4374,59.20126024861879,39.21763291565377,543,3.14,1
3153,51.85275871163337,55.04720734159812,851,2.89,1
4189,57.76897710642203,41.00113186931702,981,3.18,1
14368,68.82220882025315,33.07103780316456,158,3.09,1
5993,53.1804661859854,45.002524406277374,685,3.3,1
2814,52.952524532567054,36.148822958237545,261,3.14,1
5794,54.78376558180428,32.204474935932716,654,2.83,1
8640,54.98304702318436,73.36641711201118,358,3.72,1
1491,54.61170234227642,39.77108857195122,738,3.45,1
4086,49.067813144092824,135.67042759894517,474,4.63,1
13098,53.13655239411764,158.6554282147059,68,4.04,1
7929,50.416460923138295,127.57952499122342,376,4.76,1
14880,65.3208717279762,74.02245557440476,168,4.19,1
8894,57.034944348553715,41.08657044979339,484,2.92,1
4249,54.30559697078125,48.502814892500005,640,2.91,1
16705,59.585131473529415,150.83216059117646,34,3.14,1
4963,43.457071896551724,132.9097561689655,29,2.46,1
69,48.59482086190475,132.6935954666667,21,2.99,1
61888,67.64240635,53.01863014999999,4,4.42,1
1901,47.09497184000001,142.09281648,5,3.06,1
