question,answer,location,options
Test question 1M,1,M,"[11,2,3,4,5]"
Test question 2M,2,M,"[12,2,3,4,5]"
Test question 3M,3,M,"[13,2,3,4,5]"
Test question 4M,4,M,"[14,2,3,4,5]"
Test question 5M,5,M,"[15,2,3,4,5]"
Test question AWM,A,WM,"[A1,B,C,D,E]"
Test question BWM,B,WM,"[A2,B,C,D,E]"
Test question CWM,C,WM,"[A3,B,C,D,E]"
Test question DWM,D,WM,"[A4,B,C,D,E]"
Test question EWM,E,WM,"[A5,B,C,D,E]"
Test 1NM,1,NM,"[11,2,3,4,5]"
Test 2NM,2,NM,"[12,2,3,4,5]"
Test 3NM,3,NM,"[13,2,3,4,5]"
Test 4NM,4,NM,"[14,2,3,4,5]"
Test 5NM,5,NM,"[15,2,3,4,5]"
Test ASEC,A,SEC,"[A1,B,C,D,E]"
Test BSEC,B,SEC,"[A2,B,C,D,E]"
Test CSEC,C,SEC,"[A3,B,C,D,E]"
Test DSEC,D,SEC,"[A4,B,C,D,E]"
Test ESEC,E,SEC,"[A5,B,C,D,E]"
